sentence,year,base_verb,lemma,form,label
Stattdessen spricht er über sein persönliches Bild von Europa.,2009,sprechen,spricht,spricht,0
"Es erwirken gleichwohl, als trenne sie eine unsichtbare Barriere.",2009,wirken,erwirken,erwirken,1
"Um die hauptsächlich ausländischen Opfer zu identifizieren, brauchten wir rasche, unbürokratische Hilfe.",2009,brauchen,brauchten,brauchten,0
"Für seinen interkulturellen Zensus hat Helbling jahrelang alle Daten zusammengetragen, die Ethnografen über Kämpfe, Kriege und deren Opfer aufgezeichnet haben.",2009,zeichnen,aufzeichnen,aufgezeichnet,0
"Solange Paul nachsagen, dass er sich über Petras Anrufe freut, und Petra den Eindruck hat, dass die Beziehung durch ihre Aktivität gut läuft, sollten sich beide die gefährliche Konkurrenz um die Coolness-Medaille sparen.",2010,sagen,nachsagen,nachsagen,1
"In diesen Momenten beschimpft er jeden im Raum als Idioten, es kam schon vor, dass er bei solchen Gelegenheiten Mitarbeiter befeuern hat.",2010,feuern,befeuern,befeuern,1
"Müssen Sie ein System wirklich hacken ab, um zu zeigen, dass es Probleme hat, oder genügt es nicht, auf einen möglichen Hack hinzuweisen?",2009,hacken,abhacken,hacken ab,1
"Ich sah auch, wie manche im rot-weiß gestreiften Kürschner blätterten– das ist das Register aller Abgeordneten – weil sie nicht wussten, wer ich war.",2009,blättern,blätterten,blätterten,0
"Seine Hausbank hatte ihm den Hahn abgedreht, jetzt pumpte aus er die Kunden an.",2009,pumpen,auspumpen,pumpte aus,1
"Hotelgäste mustern ihn verstohlen, aber Deisler sieht nicht hin.",2009,mustern,mustern,mustern,0
"Glatte Haare entfetten schneller als lockige, weil das Fett eine kleinere Strecke zurückzulegen hat.",2010,fetten,entfetten,entfetten,1
"Der Konjunktur bringt das aber wenig, weil die Kommunen die Ausgaben ohnehin getätigt hätten.",2009,tätigen,getätigt,getätigt,0
"Vor einigen Wochen war bekannt geworden, dass sich Parlamentsabgeordnete aller Parteien mit dubiosen und teils betrügerischen Abrechnungen auf Kosten der Steuerzahler bereichert hatten.",2009,kennen,bekennen,bekannt,0
"Noll: Ja, aber von den Menschen, die sich gerne mit Morden befassen, habe ich gelernt, dass sie alle friedlich sind und so ihren Dampf ablassen.",2009,lassen,ablassen,ablassen,0
Hier soll der Blick frei schweifen ab können.,2010,schweifen,abschweifen,schweifen ab,1
Besonders trifft das die großen Modelle der Premiumanbieter.,2009,treffen,trifft,trifft,0
"Der Blick schweift ab über die terracottafarbenen Wände, über die mit Nippes dekorierte Schrankwand und fixiert schließlich den Adventskranz auf dem geschwungenen Glastisch.",2009,schweifen,abschweifen,schweift ab,1
"Schließlich betraf dies nicht nur das Prestigeinstitut, der Studienzweig galt auch als Cashcow der Universität.",2010,treffen,betreffen,betraf,0
Auch der andere Aufsteiger SC Freiburg ließ beim viertklassigen SV Elversberg nichts anbrennen.,2009,brennen,anbrennen,anbrennen,0
"Wir arbeiten nicht mit hoher Temperatur, weil solche dicken Fleischstücke sonst außen schwarz und innen roh werden.",2009,arbeiten,mitarbeiten,arbeiten mit,0
"Auch der Bundeswehrverband hatte die bisherige Bekämpfung der Piraten als zu zaghaft kritisiert und gefordert, Mutterschiffe direkt anzugreifen und gekaperte Schiffe zu befreien.",2009,greifen,angreifen,anzugreifen,0
Heute besorgt das eine elektrische Pumpe neben dem Resort.,2009,sorgen,besorgen,besorgt,0
Allerdings hält es der Mensch so länger auf der Sonnenbank aus und schädigt seiner Haut umso mehr.,2009,schädigen,schädigt,schädigt,0
"Er sagt: Wenn Janina ihn vor die Wahl stellen würde, sich zwischen ihr und seinen Freundinnen zu entscheiden, dann würde er sie verlassen.",2009,scheiden,entscheiden,entscheiden,0
"Bloß zwei Stunden lang musste er Regen und Wind trotzen ab, ehe er seine Arbeitskraft an den Mann bringen konnte.",2009,trotzen,abtrotzen,trotzen ab,1
"Man konnte sie anfassen, musste achtgeben, dass man sie nicht zerkratzte, und konnte sie auf dem Leuchttisch, einer von unten beleuchteten Milchglasscheibe, hin und her schieben und sortieren.)",2010,sortieren,sortieren,sortieren,0
"Die metallischen, seelenlosen Gebäude würden in parallelen Linien so eng zusammenstehen, dass nur eine dünne Scheibe Brot dazwischen passte ein.",2009,passen,einpassen,passte ein,1
"Die erste besteht darin, Entscheidungen wie
Die SPD leidet per se darunter, wenn sie Regierungsverantwortung trägt oder getragen hat – ganz anders als die CDU.",2010,leiden,mitleiden,leidet,0
"Es steht zu viel auf dem Spiel in der ganzen Region, als dass sich die internationalen Akteure Personalspielchen leisten ab könnten.",2009,leisten,ableisten,leisten ab,1
Nach Angaben eines Rettungssanitäters atmete auf der 50-Jährige beim Eintreffen der Ambulanz nicht mehr.,2009,atmen,aufatmen,atmete auf,1
"Die anderen Seen besaufen im Winter ab, wenn es regnet oder zu viel schneit.",2010,saufen,besaufen,besaufen,1
Jedenfalls lesen wir: Eine große Mehrheit wolle sich nicht gegen den Erreger der so genannten Schweinegrippe impfen lassen.,2009,impfen,impfen,impfen,0
Draußen vor dem Fenster nachpfeifen eine verspätete Rakete.,2010,pfeifen,nachpfeifen,nachpfeifen,1
"Die Sparbücher, auf die mein Bruder und ich jahrelang jeden wertlosen Aluminiumzłoty eingezahlt hatten, der übrig blieb, waren fast geplündert.",2009,plündern,geplündert,geplündert,0
"Ich schlüpfe in meine grauen Lackpumps mit dem Acht-Zentimeter-Absatz, stöckle durch die Hotellobby und schaue mich um: Bin ich die Einzige, die verkrampft herumstakst?",2010,schauen,schaue,schaue,0
"Der Direktor des Kriminologischen Forschungsinstituts Niedersachsen, Christian Pfeiffer, bezweifelte allerdings den Nutzen von mehr Schulpsychologen.",2009,zweifeln,bezweifeln,bezweifelte,0
In den vier Wurfdisziplinen sowie im Weit- und Dreisprung gibt es maximal vier Versuche.,2009,suchen,versuchen,versuche,0
"Täuscht der Eindruck, dass wir weniger Politiker haben, die ein solches Selbstverständnis haben?",2010,täuschen,täuscht,täuscht,0
"Die Länder, die in das Bündnis wollen, suchen vor allem die Nähe zum mächtigen Amerika; die Länder, die bereits drinnen sind, wollen diese Nähe erhalten.",2009,halten,erhalten,erhalten,0
"Damit ist der Grund benannt, warum beim Formel-1-Rennen der internationalen Kochkunst unsere Jungs mit dem schwarz-rot-goldenen Bündchen am Kragen nicht auf der Pole-Position stehen.",2009,nennen,benennen,benannt,0
"Neben ihm sitzt der ehemalige Fußballtorwart Oliver Kahn, sie reden ein dummes Zeug und lachen.",2009,reden,einreden,reden ein,1
"Aus Sicht der Opposition war dieses Schiff zu schnell unterwegs, es hatte große Löcher im Rumpf, die man früh hätte stopfen zu können.",2009,stopfen,zustopfen,stopfen zu,1
"Der Stürmer Bernd Grabosch will in der Nähe der Eckfahne den Ball halten, um Zeit zu schinden auf.",2009,schinden,aufschinden,schinden auf,1
"Die politische Thermodynamik allerdings verhält sich etwas anders, als Skarphéðinsson und Rehn wähnen: Island braucht die Wärme der Europäischen Union, vor allem die des Euro, viel dringender als umgekehrt.",2009,wähnen,wähnen,wähnen,0
"Tecla schaltet aus den Ton ab und fährt mit der Hand durch ihre gebügelten Locken, als fühlte sie sich ertappt.",2009,schelten,ausschelten,schaltet aus,1
"Noch nach Mitternacht entflammen die Randale immer wieder auf, es gab weiter Scharmützel und Feuer.",2009,flammen,entflammen,entflammen,1
"Waschmaschinen beispielsweise sollten dann vorzugsweise in Betrieb genommen werden, wenn der Wind kräftig weht – und Tiefkühltruhen für einige Stunde abgeschaltet werden, wenn Flaute herrscht.",2010,wehen,weht,weht,0
"Ein Dresdner Logistiker entwarf den wohl größten Stundenplan der Welt, um die 30000 Pilgergruppen von der Zeltstadt zum Steinewerfen zu geleiten, ein Verkehrspsychologe half bei der Gestaltung der Hinweisschilder.",2010,leiten,geleiten,geleiten,0
Bereits am Vorabend hatten Terroristen in zwei Dörfern unweit von Tel Afar Autobomben gezündet.,2009,zünden,gezündet,gezündet,0
"Wenn wir an Weihnachten dennoch zu Recht Freude und Zuversicht spüren, dann aufgrund der ermutigenden Tatsache, dass der Mensch in der Lage ist, Dinge zum Besseren zu wenden zu.",2010,wenden,zuwenden,wenden zu,1
Diskret verpflegen sie ihre Netzwerke und spart Kraft für gezielte Aktionen.,2010,pflegen,verpflegen,verpflegen,1
"Das Land brauchte Öl, die Araber verweigern sich, es zu liefern.",2010,weigern,verweigern,verweigern,1
"Schänzer: Wenn man richtig professionell vorgeht und logistisch vorbereitet ist, sind Manipulationen in kurzer Zeit möglich, das verstimmen.",2009,stimmen,verstimmen,verstimmen,1
"Damit qualifizierte sich Werder Bremen für die neue Europa League, Leverkusen hingegen verfehlen in der kommenden Saison auf der europäischen Fußball-Bühne.",2009,fehlen,verfehlen,verfehlen,1
"Die Jagdleidenschaft Maynards bleibt seltsam abstrakt, geformt ab wie sie ist von der bürokratischen Atmosphäre des Haager Tribunals, von den Karrieren, die dort gemacht werden können.",2009,formen,abformen,geformt ab,1
"Wer sich in den kühlen Marbacher Kellern durch das Kartongebirge schlängelt und einen ersten Blick über die sich langsam füllenden Regale schweifen ab lässt, der ist schon jetzt überwältigt.",2010,schweifen,abschweifen,schweifen ab,1
"Warum biegen aus, wenn man auch knicken kann?",2010,biegen,ausbiegen,biegen aus,1
"Dieser kategorische Imperativ sollte nicht nur der guten Laune und der mit ihr einhergehenden Pflichtvergessenheit am Arbeitsplatz einen Riegel vorschieben, er strukturierte die Lebensführung insgesamt.",2009,schieben,vorschieben,vorschieben,0
McKinsey quartiert ein sich grundsätzlich an den besten Adressen ein.,2010,quartieren,einquartieren,quartiert ein,1
"Doch da gibt es immerhin einen freudigen Lichtblick für die Unsterbliche: Das Blatt, das nicht zuletzt durch ihre Persönlichkeit Weltgeltung erlangte, trotzt ab erfolgreich der verbreiteten Endzeitstimmung bei den Printmedien.",2009,trotzen,abtrotzen,trotzt ab,1
"Wir waren mit Tausenden Kurden zurück nach Kirkuk gezogen, nachdem die irakischen Truppen kapituliert hatten, wir hatten die ersten Plünderungen durch marodierende Banden miterlebt und die Amerikaner dabei beobachtet, wie sie nicht eingriffen, wir hatten erlebt, wie die kurdischen Peschmerga auf Anweisung der Amerikaner die Stadt wieder verließen, obgleich sie sie vermutlich hätten besser beschützen können als alle, die danach kamen, wir hatten die barfuß davontrottenden Soldaten der irakischen Armee gesehen, die Verlierer, und wir hatten gedacht, der Krieg sei vorbei.",2010,denken,gedenken,gedacht,0
"Nach einem Olli Dittrich, der nervige Media-Markt-Kunden parodiert, ja am Ende vielleicht sogar nach feschen Hausfrauen, die ihre Hände in Spüli baden aus.",2009,baden,ausbaden,baden aus,1
"Das Training ist umfangreich und hart, die Rennen werden fast ausschließlich über die körperliche Leistungsfähigkeit entschieden: Ausdauer, Kraftausdauer und Schnellkraft sind entscheidend.",2009,scheiden,entscheiden,entschieden,0
"Fragt man Leute, ob ihnen der Name Lars Rudolph etwas sagt, bekennen ihn fast niemand.",2009,kennen,bekennen,bekennen,1
"Wenn die Patientin Anna Svoboda mit eingefallenen Schultern zur Tür hereinschleicht, sich schweigend auf den Stuhl kauert, ist die Ratlosigkeit des angehenden Therapeuten bereits nach kurzer Zeit zu spüren.",2010,spüren,spüren,spüren,0
"Riegel verhält sich wie andere prominente Vertreter der Reformpädagogik: Sie halten sich bei der Aufklärung von Verfehlungen zurück, äußern sich erst dann öffentlich, wenn es nicht mehr zu vermeiden ist – aus Verbundenheit zu Freunden, aus Loyalität zur großen Idee oder um das eigene Lebenswerk nicht zu beschädigen.",2010,meiden,vermeiden,vermeiden,0
Zu Nestern formen und wieder auf dem Küchentuch trocknen lassen.,2009,formen,formen,formen,0
Weltweit wurde der Freispruch als krasses Fehlurteil bewertet und Österreichs Rechtsstaatlichkeit bezweifelt.,2009,zweifeln,bezweifeln,bezweifelt,0
"Auf ihren Brettchen stoßen Feilen an Reiben, liegen Schnitzmesser ordentlich nach Größe sortiert aus.",2009,sortieren,aussortieren,sortiert aus,1
"Nach 72 Stunden erreichte er die Unglücksstelle, umkurvte die VM Materiaux und sah Le Cam durch eine Notluke des bereits tief ins Wasser gedrückten Achterschiffs tauchen auf.",2009,tauchen,auftauchen,tauchen auf,1
Es sind Löcher in den Film gestanzt.,2010,stanzen,gestanzt,gestanzt,0
"Wenn sie bei 24 Grad vom kristallinen in den flüssigen Zustand übergeht, wird dabei nicht nur viel Wärme gespeichert auf, es sieht auch schön aus.",2009,speichern,aufspeichern,gespeichert auf,1
"Das größte Problem kommt aus der Nachbarschaft: Der Stadtstaat Hamburg baggert die Elbe für Containerschiffe aus, kippt den Sand vor Friedrichskoog ins Meer – und dort fehlt das Geld, den langsam verlandenden Hafen frei zu baggern.",2010,baggern,baggert,baggert,0
"Dann beginnt die Besatzung mit dem Pulen, futtert die Meerestierchen wie Erdnüsse und feiert den guten Fang mit einem zweiten Bier.",2010,futtern,futtert,futtert,0
"Sinn: Nein, auch in der Nachkriegszeit hatten wir niedrige Löhne und Riesengewinne.",2009,sinnen,nachsinnen,nachsinnen,1
"Es gibt eine Lasershow und transparente Gummiballons, in denen Wayne Coyne über die Köpfe des Publikums verwandeln – die Flaming Lips stellen sich die Zukunft immer noch so vor, wie sie mal in den 1970ern ausgesehen hat.",2010,wandeln,verwandeln,verwandeln,1
"Der Modedesigner Paul Smith sagte einmal, dass britische Pauschaltouristen Mitte der siebziger Jahre viele Spanier für schwul hielten, weil sie T-Shirts in auffälligen Farben nachtragen.",2010,tragen,nachtragen,nachtragen,1
"Auf dem Platz hält ein weißer Kastenwagen, der dicke Fahrer kugelt heraus, legt, fröhlich rufend, Planen aufs Pflaster und sortiert darauf erstaunlich schnell erstaunliche Mengen von Ess-, Textil- und Haushaltswaren, zuvörderst, zur allseitigen Gaudi, XXXL-Packungen von rosa Klopapier.",2009,kugeln,kugelt,kugelt,0
"Wer so kompromisslos wie Bode für seine Ziele streitet, der hinterlässt manchmal verbrannte Erde.",2009,brennen,verbrennen,verbrannte,0
"Doch behindern diese Erfahrung die Europäer nicht, einem Propheten aus einem anderen Land zuzujubeln, zumal Obama die Aufhebung so vieler ewiger Konflikte verspricht: von Russland bis Iran, von Alt-Europa bis Afghanistan.",2009,hindern,behindern,behindern,1
"Die richtig schwierigen Fragen kommen aber erst nach der Einigung: Wie verändern wir, ganz konkret, die Gesetze auf nationaler Ebene, damit wir die Klimaziele erreichen?",2009,kommen,nachkommen,kommen nach,0
"Da verweigern sich der Staatspräsident Stunden vor seinem Auftritt in Neapel, eine Notverordnung von Ministerpräsident Silvio Berlusconi zu unterschreiben.",2009,weigern,verweigern,verweigern,1
"Noch müht sich EZB-Präsident Jean-Claude Trichet, die Währungsunion zusammenzuhalten.",2010,mühen,müht,müht,0
"Es frisst, es trinkt aus, und es wächst, bis es rund 2000 Gramm auf die Waage bringt.",2009,trinken,austrinken,trinkt aus,1
"Am Ende der 23. hielt er nach Osten, bog in die 22. und setzte sich, 300 Meter neben seiner Wohnung, am Rand der Avenida de las Américas ins Gras.",2010,setzen,setzte,setzte,0
"Die abgetrennten Haarstoppeln schmiegten sich an die Schleimhäute, welche in der Rachenregion reichlich vorhanden sind.",2009,schmiegen,schmiegten,schmiegten,0
"Die Quellen, aus denen sie schöpften, sind bekannt und tauchen ein auch hier wieder auf.",2010,tauchen,eintauchen,tauchen ein,1
"Wer mit Sechsjährigen Silben klatscht ab, kann kein echter Kerl sein.",2010,klatschen,abklatschen,klatscht ab,1
"Problem Nummer drei sind die Apps: Anders als etwa Google hat Nokia die vielen freien Softwareentwickler kaum dafür begeistern können, kleine Zusatzprogramme für seine Geräte zu erarbeiten.",2010,arbeiten,erarbeiten,erarbeiten,0
"Knapp ein Fünftel der europäischen Holzeinfuhren entstammen aus illegalem Einschlag, berichtet der World Wide Fund for Nature.",2009,stammen,entstammen,entstammen,1
Er wegstecken mich in einen blauen Overall und Stiefel und holt aus einer Kammer einen Sack mit einem halben Zentner Gerstenmalz.,2009,stecken,wegstecken,wegstecken,1
"Es gibt eine Art vietnamesisches Fondue: Ein Topf mit heißer Suppe steht auf dem Tisch, daneben liegen vor Fisch und Fleisch, Gemüse und frische Kräuter, alles zum Eintauchen und anschließend zum Einwickeln in vietnamesische Pfannkuchen.",2010,liegen,vorliegen,liegen vor,1
"Sie hat einen Pulsschlag, der einen durch die Nacht peitscht aus, während Tony es eher besinnlich angeht, und weil er die tiefe, mysteriöse Eleanorstille, die es auch gibt, zwar liebt, aber nicht durchdringt, verliert er die Frau.",2009,peitschen,auspeitschen,peitscht aus,1
"Der Zugriff des Missbrauchers hat das männliche Kind, dessen Sexualität noch unbestimmt ist, zum Schwulen gestempelt ab, darin müsste es sich nun outen.",2010,stempeln,abstempeln,gestempelt ab,1
"Die fertigen ab Kartoffeln in ein Sieb abgießen, kurz unter kaltem Wasser abspülen und mit einem kleinen Messer so schnell (und heiß) wie möglich schälen.",2009,fertigen,abfertigen,fertigen ab,1
"Die verbieten derzeit der neue Golf, und zwar ein DSG, kombiniert mit einem kleinen 1,4-Liter-Turbo-Benzinmotor (TSI).",2009,bieten,verbieten,verbieten,1
"Dort liege ich, während sie draußen noch quatschen, und denke über diesen ersten Tag auf dem Royal Barbecue nach.",2009,quatschen,quatschen,quatschen,0
Ein Klingelschild fehlt der neuen Partei kurz nach ihrem Einzug in Brüssel noch.,2009,fehlen,fehlt,fehlt,0
"Hier muss der Fluggast zwingend umsteigen, aber er hat dafür die Wahl zwischen London, Helsinki, Kopenhagen, Paris, Amsterdam, Frankfurt und Zürich.",2009,zwingen,zwingend,zwingend,0
"Typisch sind auch erhöhter Konsum von Nikotin, Alkohol und Rauschmitteln, Missbrauch von Beruhigungs- und Aufputschmitteln.",2010,brauchen,missbrauchen,missbrauch,0
Sinn: Die Nachfrage kommt aus der ganzen Welt.,2009,sinnen,nachsinnen,nachsinnen,1
"Ich glaube, dass man alles erreichen kann, wenn man bereit ist, alles zu opfern auf - ganz besonders das, was man glaubt zu sein.",2009,opfern,aufopfern,opfern auf,1
"Gerade wurden die ersten Geräte vorgestellt, mit denen der neue Dienst Google TV klappt zu: eine Settop-Box von Logitech, die an jedes moderne TV-Gerät gestöpselt werden kann, sowie spezielle Fernseher von Sony.",2010,klappen,zuklappen,klappt zu,1
"Sie soll nach dem Willen der USA eine zentrale Rolle beim Wiederaufbau des Gaza-Streifens nachspielen, um dort ihren Einfluss zu vergrößern.",2009,spielen,nachspielen,nachspielen,1
"Dort wurde der Staat am 9. Oktober zum ersten Mal handlungsunfähig, als 70.000 Menschen durch die Stadt zogen vor und die schiere Masse den Repressionsapparat außer Kraft setzte.",2009,ziehen,vorziehen,zogen vor,1
Der Konzern rodet alte Gummibäume in den riesigen Industrieplantagen und lässt neue Bäume pflanzen auf.,2010,pflanzen,aufpflanzen,pflanzen auf,1
Selbst Rohöl wird über das einstige Randland nach Europa geliefert aus werden.,2009,liefern,ausliefern,geliefert aus,1
Darunter leiden wir Jungen in mehrfacher Hinsicht: Wir müssen gleichzeitig die Renten unserer Eltern zahlen und höhere Beiträge für unsere eigene Absicherung aufbringen – und trotzdem werden wir später mit Altersarmut zu kämpfen haben.,2009,bringen,aufbringen,aufbringen,0
"Solche Erfahrungen können zweierlei bewirken: Entweder eine Partei verzehrt sich nach der Macht, oder sie bringt Politiker hervor, die nicht nur die Aussicht auf das Regieren reizt an.",2009,reizen,anreizen,reizt an,1
Ich starre an auf den Wecker: drei oder vier Uhr.,2010,starren,anstarren,starre an,1
"Ausgerechnet dort aber, wo man Tocotronic seit Langem nicht mehr vermutete, wegschaffen sie dann doch noch mal den Durchbruch: an der Spaßfront.",2010,schaffen,wegschaffen,wegschaffen,1
"Die weiße Warhol-Mähne von Julian Assange ist getrimmt, braun gefärbt und blond gesträhnt, das Gesicht ist wie immer bleich, die Stimme sanft.",2010,färben,gefärbt,gefärbt,0
"Zum Einstehen für die europäische Einigung gehöre aber auch, die Interessen von Bundestag und Bundesrat zu wahren.",2009,stehen,einstehen,einstehen,0
"Welche Schienenstränge tatsächlich aus- oder neu gebaut werden, entscheidet sich ganz woanders, in der sogenannten Fulda-Runde.",2009,scheiden,entscheiden,entscheidet,0
"Es ist Lustbrunnen und Projektionsfläche zugleich, in ihm entspiegeln sich die Traumbilder der Angebeteten.",2010,spiegeln,entspiegeln,entspiegeln,1
"Erst nachkommen Schiffe von der amerikanischen Ostküste mit Tabak, Reis und Indigo in den Hamburger Hafen gesegelt, dann weitet sich der Handel weltweit aus.",2010,kommen,nachkommen,nachkommen,1
Kurz vorm Gate kehre ich um und verrennen zurück zum Uhrengeschäft.,2009,rennen,verrennen,verrennen,1
Inzwischen entsprechen dort viele Menschen Englisch und sind insgesamt höflicher geworden.,2009,sprechen,entsprechen,entsprechen,1
Ein Diener preist an den Herrscher und bläst auf seinem Muschelhorn in alle vier Himmelsrichtungen.,2010,preisen,anpreisen,preist an,1
"Heute stehen zwei Männer den Blarney-Stone-Küssern bei, die sich, an zwei Eisenstangen geklammert, auf dem Rücken über die Kante ins Leere und unter den Stein in der äußeren Wehrmauer schieben.",2010,klammern,geklammert,geklammert,0
"In diesem Wespennest entwickeln sich dann in wenigen Wochen neue Tiere, die in der Umgebung des Nestes andere Insekten jagen oder auch angefaultes Obst fressen aus.",2009,fressen,ausfressen,fressen aus,1
Sie senkte den Spitzensteuersatz von 53 auf 42 Prozent.,2010,senken,senkte,senkte,0
"Momentan zahlt man für einen Euro fast 1,39 Dollar, umgekehrt ist eine Einheit der amerikanischen Währung rund 72 Eurocent wert.",2009,zahlen,zahlt,zahlt,0
Ausgerechnet in der menschlichen Mangelhaftigkeit angesichts einer sich schwindelnd an verändernden Welt sucht der Neostoiker Caye die Lösung: in unserer Unfähigkeit mitzuhalten.,2009,schwindeln,anschwindeln,schwindelnd an,1
Nur unterwegs fühlt er sich zu Hause.,2010,fühlen,fühlt,fühlt,0
"Schon melden ab sich die Ministerpräsidenten der Länder zu Wort, in denen Opel-Werke stehen.",2009,melden,abmelden,melden ab,1
"Bei den chemischen Reaktionen spielt auch Eisen eine Rolle, das wahrscheinlich aus dem felsigen Untergrund stammt – und teilweise mit dem abfließenden Wasser ans Tageslicht gelangt.",2009,stammen,stammt,stammt,0
"Sein Hals schwillt an zu einem großen Haarkragen an, seine Haut überzieht sich mit Fell.",2009,schwellen,anschwellen,schwillt an,1
Er hat sich von Rummenigge den geringgeschätzten Podolski ins Team reden lassen.,2009,reden,reden,reden,0
"Kauder sagte, die SPD könne mit diesem Ergebnis ihren Anspruch, den nächsten Kommissar zu stellen, nicht länger aufrecht erhalten.",2009,halten,erhalten,erhalten,0
Und jeder im Saal spürte: Das ist heute mehr als nur ein Konzert.,2009,spüren,spürte,spürte,0
"Keusch vermeiden er die entblößten Busen und geifernden Gesichter, die sonst auf solchen Bildern üblich waren.",2010,meiden,vermeiden,vermeiden,1
Beim Applaus zielt ab sein scheues Kinderlächeln über die Stuhlreihen hinweg ins Leere.,2009,zielen,abzielen,zielt ab,1
Eine Volksinitiative will den Bau von Minaretten verbieten.,2009,bieten,verbieten,verbieten,0
"Die Flüchtlinge wehren sich dagegen, da sie um ihr Leben fürchten.",2009,wehren,wehren,wehren,0
"Ihr Erfolg verhinderte wohl ein noch besseres Abschneiden der Freiheitlichen Partei Österreichs (FPÖ), der die Verdopplung des Wahlergebnisses von 2004 gelang.",2009,schneiden,abschneiden,abschneiden,0
"Hier feuern 2500 Soldaten auf 49 Schießständen rund um die Uhr aus ihren Gewehren, Panzer, Kampfhubschrauber und Artillerie donnern auf mit schweren Geschossen und Raketen.",2010,donnern,aufdonnern,donnern auf,1
Deshalb die Große Frage: Wer wurde auf diesem Weltwirtschaftsforum als Herrscher des Universum gefeiert?,2009,feiern,gefeiert,gefeiert,0
Also salzt man im Winter bis dicht an die Bäume.,2010,salzen,salzt,salzt,0
"Wie wirksam dagegen generöse Liquiditätshilfen sein können, zeigt vor der Fall Brasilien.",2010,zeigen,vorzeigen,zeigt vor,1
"Einen Ring leihen, ihn scheinbar verschlucken und fragen, ob es reicht, wenn man ihn in drei Tagen zurückgibt.",2010,leihen,leihen,leihen,0
"Stets sieht Kirsten Heisig aus, als müsse sie beweisen, wie gut es ihr gerade geht.",2010,weisen,beweisen,beweisen,0
Papageienfische knabbern an mit einem knirschenden Geräusch an den rötlichen und goldenen Korallen.,2009,knabbern,anknabbern,knabbern an,1
An seinem Ufer endet das touristische Berlin.,2009,enden,endet,endet,0
"Lediglich in einer unwürdigen Ausführung war dem Cape eine weitere Existenz beschieden: als eine zusammenknüllbare Regenhaut, die Radfahrer sich um die Hüfte schnallen an konnten.",2010,schnallen,anschnallen,schnallen an,1
"Das Faktum musste erst von der Kirche als Norm interpretiert werden, um verbindlich zu werden.",2010,interpretieren,interpretiert,interpretiert,0
"Klug gestaltete Vitrinen binden die Aufmerksamkeit, eindrücklich gruppierte ein Skulpturen ziehen alle Blicke auf sich.",2009,gruppieren,eingruppieren,gruppierte ein,1
"Bevor die Untersuchungen abgeschlossen sind, kann Winterkorn die Verschmelzung nicht nachvollziehen.",2010,vollziehen,nachvollziehen,nachvollziehen,1
"Im Frühling laufe an ich dann so schnell, dass sich nach kurzer Zeit Symptome des Übertrainings einstellen: Erschöpfung, Gereiztheit, Nachtschweiß.",2009,laufen,anlaufen,laufe an,1
"Geduldig lässt er jeden noch so kompliziert argumentierenden und sich wiederholenden Schüler ausreden, sammelt, ohne inhaltlich zu kommentieren oder sich anmerken zu lassen, was er von den mitunter kruden Aussagen hält.",2010,reden,ausreden,ausreden,0
"Will (Ben Foster) verkehren zwar als Held zurück, aber nichts mehr ist wie zuvor.",2009,kehren,verkehren,verkehren,1
"Mit gemischten Gefühlen sieht er nach seiner aufbauenden Rast im Rheindelta der Herberge für die nächste Nacht entgegen, dem 240 Jahre alten Schloss Wartegg.",2009,sehen,nachsehen,sieht nach,0
"Und geht er nach getaner Arbeit nach Hause, besteigt er eine Seilbahn, die ihn dorthin trägt, wo die Schweizer Milch der Schweizer Kuh die Wangen rot färbt.",2010,färben,färbt,färbt,0
"Hunderte von Anhängern Zelayas hatten in der Nähe des Regierungssitzes im Zentrum von Tegucigalpa Barrikaden aus Steinen, Holzplatten und Autoreifen errichtet, die sie in Brand setzten.",2009,richten,errichten,errichtet,0
Doch dann beließ er es bei diesen zwei Bauten als       hideaway       für sich und seine meist viel zu jungen Mätressen.,2009,lassen,belassen,beließ,0
"Viele Fantasien kreisen um Wayne Rooney, den Engländer, bestens in Form, sogar charakterlich gereift, so weit dies bei englischen Stürmern möglich ist, und im besten Alter.",2010,reifen,gereift,gereift,0
"Am Ende ist Holly jedenfalls fort, man weiß nicht, ist sie tot, oder beleben sie.",2009,leben,beleben,beleben,1
"In Ungarn sollten Großverbraucher in der Industrie, die auf alternative Energiequellen umstellen können, ab Mittwoch ebenfalls weniger Erdgas erhalten.",2009,halten,erhalten,erhalten,0
"Außerdem will der Konzern bei den Zuschlägen zum Kurzarbeitergeld sparen aus, Urlaubs- und Weihnachtsgeld zusammenstreichen und die für Mai geplante zweite Stufe der Tariferhöhung von 2,1 Prozent auf Dezember verschieben.",2009,sparen,aussparen,sparen aus,1
"So wie die Buben von Wahmbeck heute die Felder auf und ab rennen, wenn er mit seinem 330-PS-Drescher den Weizen mäht, so rannte Erdmann damals die Felder auf und ab, als sein Vater den Weizen drosch.",2009,dreschen,drosch,drosch,0
"Wem das Verbrechen in allen Erscheinungsformen begegnet ist, der muss davon gezeichnet sein, sollte man meinen.",2009,brechen,verbrechen,verbrechen,0
"Oder wenn sie Grüne und FDP zu einer gemeinsamen Ampel-Regierung überreden können, was schwieriger ist als Dieter Bohlen und Günther Grass an einen runden Tisch zu bekommen.",2009,runden,runden,runden,0
Geparkt wurde das Geld steueroptimiert in einem Trust auf den Bermudas.,2010,parken,ausparken,geparkt aus,1
